Season,PA,wRC_Plus,BB_Rate,K_Rate,O_Swing_Rate,Z_Swing_Rate,Swing_Rate,MLBAMID
2018,606,129.2992663,0.041254125,0.160066006,0.3938,0.7396,0.5307,609280
2017,417,69.31240925,0.055155875,0.292565947,0.3769,0.7205,0.5306,595978
2018,248,58.61998233,0.044354838,0.237903225,0.3804,0.7383,0.5306,452254
2016,209,93.18559418,0.052631578,0.196172248,0.363,0.7537,0.5305,433217
2017,563,99.71814856,0.055062166,0.223801065,0.3995,0.7073,0.5303,546318
2018,263,102.2168311,0.034220532,0.2243346,0.3928,0.7289,0.5299,666971
2020,237,115.8676141,0.063291139,0.118143459,0.3707,0.7448,0.5299,544369
2017,491,111.7288986,0.036659877,0.109979633,0.3956,0.7001,0.5297,456488
2021,254,170.7007139,0.051181102,0.244094488,0.3455,0.8,0.5297,621439
2016,595,100.6635299,0.048739495,0.147899159,0.3858,0.7037,0.5296,456488
2016,687,136.1394045,0.07860262,0.193595342,0.3223,0.7899,0.5293,608369
2021,240,92.19214528,0.083333333,0.225,0.3171,0.7966,0.5293,594694
2020,235,57.14823559,0.029787234,0.319148936,0.406,0.7304,0.5292,595879
2016,237,113.3923605,0.063291139,0.248945147,0.3556,0.7602,0.529,621311
2018,638,124.7997498,0.065830721,0.195924764,0.3825,0.731,0.5289,571697
2017,514,149.311892,0.126459143,0.184824902,0.3271,0.8424,0.5288,518692
2018,631,117.4488594,0.082408874,0.199683042,0.3926,0.7275,0.5288,500871
2018,329,106.8293309,0.09118541,0.215805471,0.3909,0.728,0.5286,622168
2016,682,68.95532572,0.039589442,0.140762463,0.3906,0.6929,0.5285,444876
2018,406,56.32545393,0.041871921,0.295566502,0.3749,0.7231,0.5285,621446
2016,216,65.15056064,0.069444444,0.217592592,0.3853,0.7042,0.5284,606115
2021,220,50.50841745,0.045454545,0.268181818,0.4025,0.7062,0.5283,621311
2016,563,89.49895834,0.042628774,0.1651865,0.3882,0.7025,0.5282,611177
2017,651,56.37752555,0.049155145,0.248847926,0.3832,0.7358,0.5281,596059
2017,309,126.2452142,0.055016181,0.126213592,0.3934,0.7109,0.5276,435559
2021,422,136.8626432,0.071090047,0.189573459,0.3763,0.7386,0.5276,572041
2017,303,78.01387837,0.03960396,0.267326732,0.3395,0.7347,0.5273,460026
2017,422,98.42833385,0.082938388,0.279620853,0.3149,0.786,0.5271,593528
2017,231,103.8016299,0.038961038,0.138528138,0.3636,0.7265,0.5269,608061
2018,463,68.30560019,0.038876889,0.27861771,0.4011,0.6878,0.5269,641553
2017,542,103.8529749,0.051660516,0.16605166,0.3556,0.7326,0.5266,543281
2016,624,73.66777376,0.040064102,0.217948717,0.4037,0.6815,0.5265,520471
2018,503,104.5203391,0.057654075,0.131212723,0.385,0.7081,0.5262,425877
2021,344,68.58633557,0.055232558,0.119186046,0.361,0.7164,0.5261,591720
2016,450,94.24224323,0.033333333,0.24,0.4291,0.679,0.526,595879
2019,248,24.68325982,0.052419354,0.298387096,0.3875,0.744,0.5259,621446
2021,231,99.82619443,0.069264069,0.246753246,0.3953,0.7561,0.5259,650391
2019,611,100.2061123,0.072013093,0.217675941,0.3423,0.778,0.5258,624577
2016,693,152.0295373,0.128427128,0.246753246,0.3243,0.8074,0.5256,518692
2018,366,54.50301876,0.040983606,0.237704918,0.3827,0.7045,0.5256,606115
2016,207,71.39458013,0.077294685,0.260869565,0.3611,0.7126,0.5255,425784
2017,543,94.6695427,0.051565377,0.136279926,0.3782,0.693,0.5255,425877
2021,415,98.06824969,0.045783132,0.202409638,0.3595,0.7555,0.5254,663898
2016,517,142.8789618,0.094777562,0.247582205,0.3319,0.7711,0.5253,502110
2016,200,87.3028025,0.065,0.195,0.3151,0.7446,0.5253,519333
2021,250,92.58521641,0.056,0.18,0.4004,0.7059,0.5252,647304
2019,699,108.1680944,0.071530758,0.185979971,0.4083,0.711,0.5251,500871
2019,309,50.19814397,0.045307443,0.268608414,0.3785,0.7103,0.5248,621006
2021,290,77.57812737,0.058620689,0.234482758,0.3869,0.7221,0.5248,608686
2019,246,62.17118998,0.044715447,0.268292682,0.3977,0.6906,0.5247,541650
2021,674,105.0885969,0.054896142,0.197329376,0.3924,0.7158,0.5247,570731
2017,675,120.2341739,0.051851851,0.21037037,0.3708,0.7401,0.5244,570731
2021,615,136.4240284,0.110569105,0.271544715,0.3377,0.7939,0.5242,664040
2021,271,81.49331121,0.062730627,0.236162361,0.3739,0.7292,0.5241,518586
2021,281,45.54156692,0.056939501,0.270462633,0.3533,0.7559,0.5241,642162
2016,248,59.62005016,0.048387096,0.221774193,0.3939,0.6962,0.524,542454
2017,531,98.45655584,0.073446327,0.235404896,0.3501,0.7639,0.5239,594988
2021,567,145.7495496,0.093474426,0.158730158,0.3076,0.8262,0.5239,663656
2021,347,88.33486554,0.031700288,0.233429394,0.3954,0.7135,0.5238,607680
2017,301,78.44287009,0.043189368,0.139534883,0.3867,0.6894,0.5234,649557
2017,383,85.18859309,0.080939947,0.258485639,0.3482,0.7155,0.5233,543228
2016,649,115.9506088,0.078582434,0.204930662,0.3311,0.7535,0.5232,572039
2019,318,84.86592629,0.053459119,0.298742138,0.3605,0.7434,0.5231,545350
2021,474,96.45723934,0.08649789,0.20464135,0.366,0.725,0.523,544725
2017,499,97.15052771,0.066132264,0.196392785,0.3566,0.7146,0.5229,500871
2016,453,83.35548644,0.075055187,0.30022075,0.3546,0.7359,0.5228,460576
2016,311,59.9466193,0.051446945,0.266881028,0.3367,0.7335,0.5226,545350
2016,445,114.1699227,0.053932584,0.168539325,0.3798,0.6958,0.5225,543068
2021,545,85.28237716,0.049541284,0.209174311,0.3573,0.7476,0.5225,545341
2021,247,79.9817733,0.044534412,0.174089068,0.3902,0.7062,0.5225,671277
2017,373,97.82484645,0.058981233,0.257372654,0.3768,0.7016,0.5224,543068
2021,445,100.1335044,0.092134831,0.188764044,0.3428,0.7776,0.5222,553882
2017,376,91.91315047,0.061170212,0.156914893,0.3254,0.7373,0.522,518595
2017,365,74.78741407,0.065753424,0.202739726,0.3347,0.7307,0.522,594694
2017,718,97.21752307,0.068245125,0.13091922,0.3599,0.7117,0.5219,542255
