season,name,team,pa,ops,woba,xwoba,wrc_plus,bb_rate,bb_rate_plus,k_rate,k_rate_plus,o_swing_rate,z_swing_rate,swing_rate,NameASCII,PlayerId,MLBAMID
2023,Jesús Aguilar,OAK,115,0.665317138,0.28151803,,80.81154038,0.069565217,83.08764652,0.269565217,116.5037511,0.3667,0.5797,0.4653,Jesus Aguilar,11342,542583
2016,Jaff Decker,TBR,57,0.383603238,0.178134145,,4.553134881,0.070175438,87.50163366,0.245614035,118.8930543,0.3261,0.6739,0.4652,Jaff Decker,7945,543094
2021,Anthony Rendon,LAA,249,0.711805748,0.310071569,,94.09578973,0.116465863,137.415713,0.164658634,71.97468038,0.2715,0.7035,0.4652,Anthony Rendon,12861,543685
2020,Orlando Arcia,MIL,189,0.733645288,0.317141645,,96.67850615,0.074074074,79.89317031,0.169312169,73.27374143,0.2857,0.7104,0.4651,Orlando Arcia,13185,606115
2022,Joey Votto,CIN,376,0.688714153,0.309642239,,93.44708496,0.117021276,140.0508081,0.257978723,114.0797163,0.2882,0.7129,0.4651,Joey Votto,4314,458015
2022,Bobby Dalbec,BOS,353,0.652371291,0.287046771,,79.43912297,0.082152974,103.2024543,0.33427762,150.4541953,0.316,0.6998,0.4651,Bobby Dalbec,19966,666915
2022,Akil Baddoo,DET,225,0.557545604,0.256497378,,63.76096896,0.106666666,133.9971177,0.284444444,128.0249032,0.3112,0.689,0.4651,Akil Baddoo,22168,668731
2018,Evan Gattis,HOU,451,0.735902199,0.310661123,,98.87582648,0.073170731,88.14242994,0.223946784,102.766063,0.3124,0.6717,0.465,Evan Gattis,11003,594828
2018,Matt Szczur,SDP,84,0.531726906,0.241978196,,50.10807235,0.095238095,106.1212568,0.285714285,132.4222723,0.3297,0.6515,0.465,Matt Szczur,11255,519333
2021,Nick Heath,ARI,39,0.402197801,0.179816346,,7.594425696,0.102564102,111.6597939,0.384615384,172.4570255,0.3488,0.6056,0.465,Nick Heath,19577,670084
2022,Nomar Mazara,SDP,171,0.66799073,0.297350513,,95.377624,0.058479532,69.98817645,0.233918128,103.439979,0.3246,0.6644,0.465,Nomar Mazara,14553,608577
2016,Ian Desmond,TEX,677,0.781702806,0.335688207,,102.7465761,0.064992614,81.03917928,0.236336779,114.4022632,0.3082,0.64,0.4649,Ian Desmond,6885,435622
2016,Logan Morrison,TBR,398,0.73269321,0.317684818,,100.4621708,0.092964824,115.9176801,0.22361809,108.2455964,0.2927,0.7143,0.4649,Logan Morrison,9205,489149
2018,Mitch Moreland,BOS,459,0.757787052,0.325368332,,100.7001841,0.108932461,131.2214827,0.222222222,101.9746855,0.2733,0.7254,0.4649,Mitch Moreland,3086,519048
2018,Joey Wendle,TBR,545,0.788909435,0.337726025,,117.2789438,0.067889908,81.78108074,0.176146788,80.83130998,0.3589,0.6271,0.4649,Joey Wendle,13853,621563
2021,Isiah Kiner-Falefa,TEX,677,0.669610491,0.292692475,,81.8679357,0.041358936,48.79857096,0.132939438,58.10975913,0.3362,0.6407,0.4649,Isiah Kiner-Falefa,16512,643396
2023,Patrick Bailey,SFG,353,0.643795989,0.281777858,,77.7834186,0.059490084,67.51015565,0.283286118,126.9350868,0.2992,0.6651,0.4649,Patrick Bailey,27478,672275
2016,Mike Zunino,SEA,192,0.787220528,0.337897797,,116.5569445,0.109375,136.3795005,0.338541666,163.8760288,0.2961,0.6939,0.4648,Mike Zunino,13265,572287
2020,Nomar Mazara,CHW,149,0.58941966,0.266857603,,65.04672031,0.067114093,74.15954471,0.295302013,124.3015746,0.3537,0.6426,0.4648,Nomar Mazara,14553,608577
2021,Shed Long Jr.,SEA,121,0.618693693,0.268448572,,71.99745639,0.074380165,87.75965028,0.322314049,140.888152,0.2882,0.7081,0.4648,Shed Long Jr.,16542,643418
2017,Jesús Aguilar,MIL,311,0.836566054,0.350744484,,113.5062743,0.080385852,89.34471735,0.302250803,143.9104549,0.3338,0.6368,0.4647,Jesus Aguilar,11342,542583
2019,Neil Walker,MIA,381,0.738490773,0.319367392,,99.42217315,0.11023622,124.4215222,0.202099737,92.45861363,0.3187,0.7035,0.4647,Neil Walker,7539,435522
2019,Tony Kemp,- - -,279,0.670958742,0.285349971,,75.87521637,0.082437275,95.77116605,0.168458781,74.97556528,0.3005,0.6704,0.4647,Tony Kemp,14894,643393
2023,Austin Hays,BAL,566,0.769319108,0.33000147,,112.0770374,0.067137809,80.18838699,0.249116607,107.666039,0.3355,0.6528,0.4647,Austin Hays,19363,669720
2017,Derek Dietrich,MIA,464,0.757697044,0.323689921,,101.122312,0.077586206,86.2330556,0.211206896,100.5617857,0.2994,0.6591,0.4646,Derek Dietrich,10542,518618
2016,Bruce Maxwell,OAK,101,0.738807576,0.320526522,,102.1186783,0.07920792,98.76422003,0.237623762,115.0252461,0.2893,0.7,0.4645,Bruce Maxwell,13866,622194
2018,Nelson Cruz,SEA,591,0.85046409,0.360840694,,132.8283139,0.093062605,112.1044443,0.20642978,94.72775363,0.3191,0.697,0.4645,Nelson Cruz,2434,443558
2018,José Pirela,SDP,473,0.644960274,0.28313069,,77.60487686,0.063424947,70.67271863,0.188160676,87.2083252,0.3218,0.6443,0.4645,Jose Pirela,5485,517369
2020,Michael Pérez,TBR,93,0.474654377,0.216546236,,36.2275643,0.075268817,83.17032906,0.29032258,122.2055802,0.3163,0.6755,0.4645,Michael Perez,12977,605421
2023,Kyle Isbel,KCR,313,0.662188268,0.286093884,,75.16166453,0.054313099,64.8707467,0.188498402,81.46737608,0.3172,0.6455,0.4645,Kyle Isbel,21614,664728
2018,Brandon Guyer,CLE,221,0.67113402,0.297956079,,83.47622018,0.067873303,81.76107813,0.21719457,99.66756597,0.299,0.6817,0.4644,Brandon Guyer,2636,446386
2018,Kyle Higashioka,NYY,79,0.559950773,0.248115215,,52.28610566,0.075949367,91.4896116,0.202531645,92.93895372,0.3182,0.6637,0.4644,Kyle Higashioka,5517,543309
2016,Collin Cowgill,CLE,14,0.297619047,0.161405576,,-13.57704361,0.142857142,178.1283261,0.5,242.0322891,0.3226,0.64,0.4643,Collin Cowgill,7250,518577
2019,Kean Wong,- - -,18,0.333333332,0.144934495,,-11.97903117,0,0,0.333333333,145.7857737,0.3519,0.6667,0.4643,Kean Wong,15994,642221
